headword,ipa,cefr,pos,source,pattern,group,gloss_en,gloss_ja,gloss_zh,gloss_ko
bookstore,/ˈbʊkˌstɔr/,A1,名詞,cefr,,,,,,
boring,/ˈbɔrɪŋ/,A1,形容詞,cefr,,,,,,
borrow,/ˈbɑˌroʊ/,A1,動詞,cefr,,,,,,
both,/boʊθ/,A1,副詞 / 限定詞 / 代名詞,both,o → /oʊ/,long,,,,
bottle,/ˈbɑtəl/,A1,名詞,cefr,,,,,,
bottom,/ˈbɑtəm/,A1,名詞,cefr,,,,,,
bowl,/boʊl/,A1,名詞,both,ow → /oʊ/,team,,,,
box,/bɑks/,A1,名詞,both,o → /ɑ/,short,,,,
boy,/bɔɪ/,A1,名詞,both,oy → /ɔɪ/,team,,,,
boyfriend,/ˈbɔɪˌfrɛnd/,A1,名詞,cefr,,,,,,
brain,/breɪn/,A1,名詞,both,ai → /eɪ/,team,,,,
bread,/brɛd/,A1,名詞,both,ea → /ɛ/,team,,,,
break,/breɪk/,A1,名詞 / 動詞,both,ea → /eɪ/,team,,,,
breakfast,/ˈbrɛkfəst/,A1,名詞,cefr,,,,,,
breathe,/brið/,A1,動詞,both,ea → /i/,long,,,,
bridge,/brɪdʒ/,A1,名詞,both,i → /ɪ/,short,,,,
bright,/braɪt/,A1,形容詞,both,igh → /aɪ/,team,,,,
bring,/brɪŋ/,A1,動詞,both,i → /ɪ/,short,,,,
broken,/ˈbroʊkən/,A1,形容詞,cefr,,,,,,
brother,/ˈbrʌðɚ/,A1,名詞,cefr,,,,,,
brown,/braʊn/,A1,形容詞 / 名詞,both,ow → /aʊ/,team,,,,
brush,/brʌʃ/,A1,名詞 / 動詞,both,u → /ʌ/,short,,,,
bucket,/ˈbʌkət/,A1,名詞,cefr,,,,,,
build,/bɪld/,A1,動詞,both,ui → /ɪ/,team,,,,
building,/ˈbɪldɪŋ/,A1,名詞,cefr,,,,,,
burger,/ˈbɝɡɚ/,A1,名詞,cefr,,,,,,
bus,/bʌs/,A1,名詞,both,u → /ʌ/,short,,,,
business,/ˈbɪznəs/,A1,名詞,cefr,,,,,,
busy,/ˈbɪzi/,A1,形容詞,cefr,,,,,,
but,/bʌt/,A1,接続詞,both,u → /ʌ/,short,,,,
butter,/ˈbʌtɚ/,A1,名詞,cefr,,,,,,
butterfly,/ˈbʌtɚˌflaɪ/,A1,名詞,cefr,,,,,,
button,/ˈbʌtən/,A1,名詞,cefr,,,,,,
buy,/baɪ/,A1,動詞,cefr,,,,,,
by,/baɪ/,A1,前置詞,both,y → /aɪ/,long,,,,
bye,/baɪ/,A1,名詞,both,y → /aɪ/,long,,,,
cake,/keɪk/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
call,/kɔl/,A1,名詞 / 動詞,both,a → /ɔ/,long,,,,
camera,/ˈkæmɚə/,A1,名詞,cefr,,,,,,
camp,/kæmp/,A1,名詞 / 動詞,both,a → /æ/,short,,,,
can,/kæn/,A1,助動詞 / 名詞,both,a → /æ/,short,,,,
candy,/ˈkændi/,A1,名詞,cefr,,,,,,
cap,/kæp/,A1,名詞,both,a → /æ/,short,,,,
car,/kɑr/,A1,名詞,both,ar → /ɑr/,r,,,,
card,/kɑrd/,A1,名詞,both,ar → /ɑr/,r,,,,
care,/kɛr/,A1,名詞,both,are → /ɛr/,r,,,,
careful,/ˈkɛrfəl/,A1,形容詞,cefr,,,,,,
carefully,/ˈkɛrfəli/,A1,副詞,cefr,,,,,,
carry,/ˈkæri/,A1,動詞,cefr,,,,,,
cartoon,/kɑrˈtun/,A1,名詞,cefr,,,,,,
case,/keɪs/,A1,名詞,both,a → /eɪ/,long,,,,
cat,/kæt/,A1,名詞,both,a → /æ/,short,,,,
catch,/kætʃ/,A1,名詞 / 動詞,both,a → /æ/,short,,,,
cd,/ˌsiˈdi/,A1,名詞,cefr,,,,,,
celebrate,/ˈsɛləˌbreɪt/,A1,動詞,cefr,,,,,,
celebration,/ˌsɛləˈbreɪʃən/,A1,名詞,cefr,,,,,,
chair,/tʃɛr/,A1,名詞,both,air → /ɛr/,r,,,,
change,/tʃeɪndʒ/,A1,名詞 / 動詞,both,a_e → /eɪ/ (マジックe),long,,,,
character,/ˈkɛrɪktɚ/,A1,名詞,cefr,,,,,,
check,/tʃɛk/,A1,名詞 / 動詞,both,e → /ɛ/,short,,,,
cheese,/tʃiz/,A1,名詞,both,ee → /i/,team,,,,
chicken,/ˈtʃɪkən/,A1,名詞,cefr,,,,,,
child,/tʃaɪld/,A1,名詞,both,i → /aɪ/,long,,,,
chocolate,/ˈtʃɔklət/,A1,名詞,cefr,,,,,,
choose,/tʃuz/,A1,動詞,both,oo → /u/,team,,,,
church,/tʃɝtʃ/,A1,名詞,both,ur → /ɝ/,r,,,,
cinema,/ˈsɪnəmə/,A1,名詞,cefr,,,,,,
circle,/ˈsɝkəl/,A1,名詞,cefr,,,,,,
city,/ˈsɪti/,A1,名詞,cefr,,,,,,
class,/klæs/,A1,名詞,both,a → /æ/,short,,,,
classmate,/ˈklæˌsmeɪt/,A1,名詞,cefr,,,,,,
classroom,/ˈklæsˌrum/,A1,名詞,cefr,,,,,,
clean,/klin/,A1,形容詞 / 動詞,both,ea → /i/,team,,,,
clever,/ˈklɛvɚ/,A1,形容詞,cefr,,,,,,
climb,/klaɪm/,A1,名詞 / 動詞,both,i → /aɪ/,long,,,,
clock,/klɑk/,A1,名詞,both,o → /ɑ/,short,,,,
close,/kloʊs/,A1,形容詞 / 動詞,both,o → /oʊ/,long,,,,
closed,/kloʊzd/,A1,形容詞,cefr,,,,,,
cloth,/klɔθ/,A1,名詞,both,o → /ɔ/,short,,,,
clothes,/kloʊðz/,A1,名詞,cefr,,,,,,
cloud,/klaʊd/,A1,名詞,both,ou → /aʊ/,team,,,,
cloudy,/ˈklaʊdi/,A1,形容詞,cefr,,,,,,
club,/klʌb/,A1,名詞,both,u → /ʌ/,short,,,,
coach,/koʊtʃ/,A1,名詞,both,oa → /oʊ/,team,,,,
coat,/koʊt/,A1,名詞,both,oa → /oʊ/,team,,,,
code,/koʊd/,A1,名詞,both,o_e → /oʊ/ (マジックe),long,,,,
coffee,/ˈkɑfi/,A1,名詞,cefr,,,,,,
coke,/koʊk/,A1,名詞,both,o_e → /oʊ/ (マジックe),long,,,,
cold,/koʊld/,A1,形容詞 / 名詞,both,o → /oʊ/,long,,,,
collect,/kəˈlɛkt/,A1,動詞,cefr,,,,,,
collection,/kəˈlɛkʃən/,A1,名詞,cefr,,,,,,
college,/ˈkɑlɪdʒ/,A1,名詞,cefr,,,,,,
come,/kʌm/,A1,動詞,cefr,,,,,,
computer,/kəmˈpjutɚ/,A1,名詞,cefr,,,,,,
concert,/ˈkɑnsɚt/,A1,名詞,cefr,,,,,,
contest,/ˈkɑntɛst/,A1,名詞,cefr,,,,,,
conversation,/ˌkɑnvɚˈseɪʃən/,A1,名詞,cefr,,,,,,
cook,/kʊk/,A1,名詞 / 動詞,both,oo → /ʊ/,team,,,,
cookie,/ˈkʊki/,A1,名詞,cefr,,,,,,
cool,/kul/,A1,形容詞,both,oo → /u/,team,,,,
cop,/kɑp/,A1,名詞,both,o → /ɑ/,short,,,,
copy,/ˈkɑpi/,A1,名詞 / 動詞,cefr,,,,,,
corn,/kɔrn/,A1,名詞,both,or → /ɔr/,r,,,,
corner,/ˈkɔrnɚ/,A1,名詞,cefr,,,,,,
correct,/kɚˈɛkt/,A1,形容詞,cefr,,,,,,
couch,/kaʊtʃ/,A1,名詞,both,ou → /aʊ/,team,,,,
could,/kʊd/,A1,助動詞,cefr,,,,,,
course,/kɔrs/,A1,名詞,both,our → /ɔr/,r,,,,
cousin,/ˈkʌzən/,A1,名詞,cefr,,,,,,
cover,/ˈkʌvɚ/,A1,名詞 / 動詞,cefr,,,,,,
cow,/kaʊ/,A1,名詞,both,ow → /aʊ/,team,,,,
cream,/krim/,A1,形容詞 / 名詞,both,ea → /i/,team,,,,
cry,/kraɪ/,A1,名詞 / 動詞,both,y → /aɪ/,long,,,,
culture,/ˈkʌltʃɚ/,A1,名詞,cefr,,,,,,
cup,/kʌp/,A1,名詞,both,u → /ʌ/,short,,,,
cut,/kʌt/,A1,動詞,both,u → /ʌ/,short,,,,
cute,/kjut/,A1,形容詞,both,u_e → /ju/ (マジックe),long,,,,
dad,/dæd/,A1,名詞,both,a → /æ/,short,,,,
daddy,/ˈdædi/,A1,名詞,cefr,,,,,,
dance,/dæns/,A1,名詞 / 動詞,both,a → /æ/,short,,,,
dancing,/ˈdænsɪŋ/,A1,名詞,cefr,,,,,,
dark,/dɑrk/,A1,形容詞,both,ar → /ɑr/,r,,,,
date,/deɪt/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
daughter,/ˈdɔtɚ/,A1,名詞,cefr,,,,,,
day,/deɪ/,A1,名詞,both,ay → /eɪ/,team,,,,
dear,/dɪr/,A1,形容詞,both,ear → /ɪr/,r,,,,
december,/dɪˈsɛmbɚ/,A1,名詞,cefr,,,,,,
delicious,/dɪˈlɪʃəs/,A1,形容詞,cefr,,,,,,
describe,/dɪˈskraɪb/,A1,動詞,cefr,,,,,,
design,/dɪˈzaɪn/,A1,名詞,cefr,,,,,,
desk,/dɛsk/,A1,名詞,both,e → /ɛ/,short,,,,
dictionary,/ˈdɪkʃəˌnɛri/,A1,名詞,cefr,,,,,,
did,/dɪd/,A1,do-verb,both,i → /ɪ/,short,,,,
difference,/ˈdɪfɚəns/,A1,名詞,cefr,,,,,,
different,/ˈdɪfɚənt/,A1,形容詞,cefr,,,,,,
difficult,/ˈdɪfəkəlt/,A1,形容詞,cefr,,,,,,
dig,/dɪɡ/,A1,名詞,both,i → /ɪ/,short,,,,
dinner,/ˈdɪnɚ/,A1,名詞,cefr,,,,,,
dirty,/ˈdɝti/,A1,形容詞,cefr,,,,,,
discuss,/dɪˈskʌs/,A1,動詞,cefr,,,,,,
dish,/dɪʃ/,A1,名詞,both,i → /ɪ/,short,,,,
do,/du/,A1,do-verb,both,o → /u/,long,,,,
does,/dʌz/,A1,do-verb,cefr,,,,,,
dog,/dɔɡ/,A1,名詞,both,o → /ɔ/,short,,,,
doing,/ˈduɪŋ/,A1,do-verb,cefr,,,,,,
doll,/dɑl/,A1,名詞,both,o → /ɑ/,short,,,,
dollar,/ˈdɑlɚ/,A1,名詞,cefr,,,,,,
door,/dɔr/,A1,名詞,both,oor → /ɔr/,r,,,,
down,/daʊn/,A1,副詞 / 前置詞,both,ow → /aʊ/,team,,,,
drama,/ˈdrɑmə/,A1,名詞,cefr,,,,,,
draw,/drɔ/,A1,名詞 / 動詞,both,aw → /ɔ/,team,,,,
dream,/drim/,A1,名詞 / 動詞,both,ea → /i/,team,,,,
dress,/drɛs/,A1,名詞 / 動詞,both,e → /ɛ/,short,,,,
drink,/drɪŋk/,A1,名詞 / 動詞,cefr,,,,,,
drive,/draɪv/,A1,名詞 / 動詞,both,i_e → /aɪ/ (マジックe),long,,,,
driver,/ˈdraɪvɚ/,A1,名詞,cefr,,,,,,
drop,/drɑp/,A1,名詞 / 動詞,both,o → /ɑ/,short,,,,
drum,/drʌm/,A1,名詞,both,u → /ʌ/,short,,,,
dry,/draɪ/,A1,形容詞 / 動詞,both,y → /aɪ/,long,,,,
due,/du/,A1,形容詞,both,ue → /u/,team,,,,
dvd,/ˌdiviˈdi/,A1,名詞,cefr,,,,,,
each,/itʃ/,A1,限定詞 / 代名詞,both,ea → /i/,team,,,,
ear,/ir/,A1,名詞,both,ea → /i/,team,,,,
early,/ˈɝli/,A1,形容詞 / 副詞,cefr,,,,,,
easy,/ˈizi/,A1,形容詞,cefr,,,,,,
eat,/it/,A1,動詞,both,ea → /i/,team,,,,
egg,/ɛɡ/,A1,名詞,both,e → /ɛ/,short,,,,
eight,/eɪt/,A1,数詞,both,eigh → /eɪ/,team,,,,
eighteen,/eɪˈtin/,A1,数詞,cefr,,,,,,
eighty,/ˈeɪti/,A1,数詞,cefr,,,,,,
either,/ˈiðɚ/,A1,副詞 / 接続詞,cefr,,,,,,
elementary,/ˌɛləˈmɛntri/,A1,形容詞,cefr,,,,,,
eleven,/ɪˈlɛvən/,A1,数詞,cefr,,,,,,
else,/ɛls/,A1,副詞,both,e → /ɛ/,short,,,,
end,/ɛnd/,A1,名詞 / 動詞,both,e → /ɛ/,short,,,,
engineer,/ɛndʒəˈnɪr/,A1,名詞,cefr,,,,,,
enjoy,/ˌɛnˈdʒɔɪ/,A1,動詞,cefr,,,,,,
evening,/ˈivnɪŋ/,A1,名詞,cefr,,,,,,
event,/ɪˈvɛnt/,A1,名詞,cefr,,,,,,
every,/ˈɛvɚi/,A1,限定詞,cefr,,,,,,
everybody,/ˈɛvriˌbɑdi/,A1,代名詞,cefr,,,,,,
everyday,/ɛvriˈdeɪ/,A1,形容詞,cefr,,,,,,
everyone,/ˈɛvriˌwʌn/,A1,代名詞,cefr,,,,,,
everything,/ˈɛvriˌθɪŋ/,A1,代名詞,cefr,,,,,,
everywhere,/ˈɛvriˌwɛr/,A1,副詞,cefr,,,,,,
example,/ɪɡˈzæmpəl/,A1,名詞,cefr,,,,,,
excellent,/ˈɛksələnt/,A1,形容詞,cefr,,,,,,
excited,/ɪkˈsaɪtəd/,A1,形容詞,cefr,,,,,,
exciting,/ɪkˈsaɪtɪŋ/,A1,形容詞,cefr,,,,,,
excuse,/ɪkˈskjus/,A1,名詞,cefr,,,,,,
exercise,/ˈɛksɚˌsaɪz/,A1,名詞 / 動詞,cefr,,,,,,
expensive,/ɪkˈspɛnsɪv/,A1,形容詞,cefr,,,,,,
eye,/aɪ/,A1,名詞,both,y → /aɪ/,long,,,,
face,/feɪs/,A1,名詞 / 動詞,both,a → /eɪ/,long,,,,
factory,/ˈfæktɚi/,A1,名詞,cefr,,,,,,
fair,/fɛr/,A1,形容詞,both,air → /ɛr/,r,,,,
fairy,/ˈfɛri/,A1,名詞,cefr,,,,,,
false,/fɔls/,A1,形容詞,both,a → /ɔ/,long,,,,
family,/ˈfæməli/,A1,名詞,cefr,,,,,,
famous,/ˈfeɪməs/,A1,形容詞,cefr,,,,,,
fan,/fæn/,A1,名詞,both,a → /æ/,short,,,,
farm,/fɑrm/,A1,名詞,both,ar → /ɑr/,r,,,,
farmer,/ˈfɑrmɚ/,A1,名詞,cefr,,,,,,
fast,/fæst/,A1,形容詞 / 副詞,both,a → /æ/,short,,,,
fat,/fæt/,A1,形容詞,both,a → /æ/,short,,,,
father,/ˈfɑðɚ/,A1,名詞,cefr,,,,,,
february,/ˈfɛbjəˌwɛri/,A1,名詞,cefr,,,,,,
feed,/fid/,A1,名詞,both,ee → /i/,team,,,,
feel,/fil/,A1,名詞 / 動詞,both,ee → /i/,team,,,,
feeling,/ˈfilɪŋ/,A1,名詞,cefr,,,,,,
festival,/ˈfɛstəvəl/,A1,名詞,cefr,,,,,,
fever,/ˈfivɚ/,A1,名詞,cefr,,,,,,
field,/fild/,A1,名詞,both,ie → /i/,team,,,,
fifteen,/fɪfˈtin/,A1,数詞,cefr,,,,,,
fifty,/ˈfɪfti/,A1,数詞,cefr,,,,,,
fight,/faɪt/,A1,名詞,both,igh → /aɪ/,team,,,,
file,/faɪl/,A1,名詞,both,i_e → /aɪ/ (マジックe),long,,,,
fill,/fɪl/,A1,動詞,both,i → /ɪ/,short,,,,
find,/faɪnd/,A1,動詞,both,i → /aɪ/,long,,,,
fine,/faɪn/,A1,形容詞,both,i_e → /aɪ/ (マジックe),long,,,,
finish,/ˈfɪnɪʃ/,A1,名詞 / 動詞,cefr,,,,,,
fire,/ˈfaɪɚ/,A1,名詞,cefr,,,,,,
first,/fɝst/,A1,形容詞 / 副詞,both,ir → /ɝ/,r,,,,
fish,/fɪʃ/,A1,名詞,both,i → /ɪ/,short,,,,
fishing,/ˈfɪʃɪŋ/,A1,名詞,cefr,,,,,,
five,/faɪv/,A1,数詞,both,i_e → /aɪ/ (マジックe),long,,,,
flag,/flæɡ/,A1,名詞,both,a → /æ/,short,,,,
flat,/flæt/,A1,名詞,both,a → /æ/,short,,,,
floor,/flɔr/,A1,名詞,both,oor → /ɔr/,r,,,,
flower,/ˈflaʊɚ/,A1,名詞,cefr,,,,,,
fly,/flaɪ/,A1,名詞 / 動詞,both,y → /aɪ/,long,,,,
focus,/ˈfoʊkəs/,A1,動詞,cefr,,,,,,
foggy,/ˈfɑɡi/,A1,形容詞,cefr,,,,,,
following,/ˈfɑloʊɪŋ/,A1,形容詞,cefr,,,,,,
food,/fud/,A1,名詞,both,oo → /u/,team,,,,
football,/ˈfʊtˌbɔl/,A1,名詞,cefr,,,,,,
for,/fɔr/,A1,接続詞 / 前置詞,both,or → /ɔr/,r,,,,
foreign,/ˈfɔrən/,A1,形容詞,cefr,,,,,,
foreigner,/ˈfɔrənɚ/,A1,名詞,cefr,,,,,,
forget,/fɚˈɡɛt/,A1,動詞,cefr,,,,,,
form,/fɔrm/,A1,名詞,both,or → /ɔr/,r,,,,
forty,/ˈfɔrti/,A1,数詞,cefr,,,,,,
four,/fɔr/,A1,数詞,both,our → /ɔr/,r,,,,
fourteen,/fɔrˈtin/,A1,数詞,cefr,,,,,,
free,/fri/,A1,形容詞 / 副詞,both,ee → /i/,team,,,,
friday,/ˈfraɪdi/,A1,名詞,cefr,,,,,,
friend,/frɛnd/,A1,名詞,both,ie → /ɛ/,team,,,,
frog,/frɑɡ/,A1,名詞,both,o → /ɑ/,short,,,,
from,/frʌm/,A1,前置詞,both,o → /ʌ/,long,,,,
front,/frʌnt/,A1,形容詞 / 名詞,both,o → /ʌ/,long,,,,
fruit,/frut/,A1,名詞,both,ui → /u/,team,,,,
full,/fʊl/,A1,形容詞,both,u → /ʊ/,short,,,,
fun,/fʌn/,A1,形容詞 / 名詞,both,u → /ʌ/,short,,,,
funny,/ˈfʌni/,A1,形容詞,cefr,,,,,,
future,/ˈfjutʃɚ/,A1,名詞,cefr,,,,,,
game,/ɡeɪm/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
garbage,/ˈɡɑrbɪdʒ/,A1,名詞,cefr,,,,,,
garden,/ˈɡɑrdən/,A1,名詞,cefr,,,,,,
get,/ɡɛt/,A1,動詞,both,e → /ɛ/,short,,,,
ghost,/ɡoʊst/,A1,名詞,both,o → /oʊ/,long,,,,
gift,/ɡɪft/,A1,名詞,both,i → /ɪ/,short,,,,
girl,/ɡɝl/,A1,名詞,both,ir → /ɝ/,r,,,,
girlfriend,/ˈɡɝlˌfrɛnd/,A1,名詞,cefr,,,,,,
give,/ɡɪv/,A1,動詞,cefr,,,,,,
glad,/ɡlæd/,A1,形容詞,both,a → /æ/,short,,,,
glass,/ɡlæs/,A1,名詞,both,a → /æ/,short,,,,
glasses,/ˈɡlæsəz/,A1,名詞,cefr,,,,,,
go,/ɡoʊ/,A1,動詞,both,o → /oʊ/,long,,,,
goal,/ɡoʊl/,A1,名詞,both,oa → /oʊ/,team,,,,
gold,/ɡoʊld/,A1,形容詞 / 名詞,both,o → /oʊ/,long,,,,
good,/ɡʊd/,A1,形容詞,both,oo → /ʊ/,team,,,,
grade,/ɡreɪd/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
grammar,/ˈɡræmɚ/,A1,名詞,cefr,,,,,,
grandfather,/ˈɡrændˌfɑðɚ/,A1,名詞,cefr,,,,,,
grandma,/ˈɡrændmɑ/,A1,名詞,cefr,,,,,,
grandmother,/ˈɡrændˌmʌðɚ/,A1,名詞,cefr,,,,,,
grandpa,/ˈɡrændˌpɑ/,A1,名詞,cefr,,,,,,
grandparent,/ˈɡrændˌpɛrənt/,A1,名詞,cefr,,,,,,
grape,/ɡreɪp/,A1,名詞,both,a_e → /eɪ/ (マジックe),long,,,,
grass,/ɡræs/,A1,名詞,both,a → /æ/,short,,,,
great,/ɡreɪt/,A1,形容詞,both,ea → /eɪ/,team,,,,
green,/ɡrin/,A1,形容詞 / 名詞,both,ee → /i/,team,,,,
greet,/ɡrit/,A1,動詞,both,ee → /i/,team,,,,
ground,/ɡraʊnd/,A1,名詞,both,ou → /aʊ/,team,,,,
group,/ɡrup/,A1,名詞,both,ou → /u/,team,,,,
grow,/ɡroʊ/,A1,動詞,both,ow → /oʊ/,team,,,,
guess,/ɡɛs/,A1,動詞,cefr,,,,,,
guest,/ɡɛst/,A1,名詞,cefr,,,,,,
guitar,/ɡɪˈtɑr/,A1,名詞,cefr,,,,,,
guy,/ɡaɪ/,A1,名詞,cefr,,,,,,
habit,/ˈhæbət/,A1,名詞,cefr,,,,,,
had,/hæd/,A1,have-verb,both,a → /æ/,short,,,,
