w,cefr,phase_origin,ipa,ipa_actual_ga,rp_ipa,gloss_ja,flags,has_respell_ga,has_respell_rp
granddad,A2,original(pre-Phase1),/ˈɡrænˌdæd/,,/ˈɡrænˌdæd/,祖父,R4-VntV-excluded,True,True
granddaughter,A2,original(pre-Phase1),/ˈɡrænˌdɔtɚ/,/ˈɡrænˌdɔɾɚ/,/ˈɡrænˌdɔːtə/,孫娘,R4-VntV-excluded,True,True
handicapped,A2,original(pre-Phase1),/ˈhændiˌkæpt/,,/ˈhændiˌkæpt/,障害者,R4-VntV-excluded,True,True
hunter,A2,original(pre-Phase1),/ˈhʌntɚ/,,/ˈhʌntə/,ハンター,R4-VntV-excluded,True,True
independence,A2,original(pre-Phase1),/ˌɪndɪˈpɛndəns/,/ˌɪndɪˈpɛndn̩s/,/ˌɪndɪˈpendəns/,独立,R4-VntV-excluded,True,True
indicate,A2,original(pre-Phase1),/ˈɪndəˌkeɪt/,,/ˈɪndəˌkeɪt/,示す,R4-VntV-excluded,True,True
indoor,A2,original(pre-Phase1),/ˈɪnˌdɔr/,,/ˈɪnˌdɔː/,屋内,R4-VntV-excluded,True,True
international,A2,original(pre-Phase1),/ˌɪntɚˈnæʃənəl/,,/ˌɪntəˈnæʃənəl/,国際的,R4-VntV-excluded,True,True
kinda,A2,original(pre-Phase1),/ˈkaɪndə/,,/ˈkaɪndə/,なんとなく、ちょっと（kind ofの口語形）,R4-VntV-excluded,True,True
painter,A2,original(pre-Phase1),/ˈpeɪntɚ/,,/ˈpeɪntə/,画家,R4-VntV-excluded,True,True
plenty,A2,original(pre-Phase1),/ˈplɛnti/,,/ˈplenti/,多くの,R4-VntV-excluded,True,True
printer,A2,original(pre-Phase1),/ˈprɪntɚ/,,/ˈprɪntə/,プリンター,R4-VntV-excluded,True,True
romantic,A2,original(pre-Phase1),/roʊˈmæntɪk/,,/rəʊˈmæntɪk/,ロマンチック,R4-VntV-excluded,True,True
roundabout,A2,original(pre-Phase1),/ˈraʊndəˌbaʊt/,,/ˈraʊndəˌbaʊt/,ラウンドアバウト,R4-VntV-excluded,True,True
sandy,A2,original(pre-Phase1),/ˈsændi/,,/ˈsændi/,砂っぽい,R4-VntV-excluded,True,True
thunderstorm,A2,original(pre-Phase1),/ˈθʌndɚˌstɔrm/,,/ˈθʌndəˌstɔːm/,雷雨,R4-VntV-excluded,True,True
understand,A2,original(pre-Phase1),/ˌʌndɚˈstænd/,,/ˌʌndəˈstænd/,理解する,R4-VntV-excluded,True,True
underwater,A2,original(pre-Phase1),/ˈʌndɚˌwɔtɚ/,/ˈʌndɚˌwɔɾɚ/,/ˈʌndəˌwɔːtə/,水中,R4-VntV-excluded,True,True
wander,A2,original(pre-Phase1),/ˈwɑndɚ/,,/ˈwɒndə/,放浪する,R4-VntV-excluded,True,True
windy,A2,original(pre-Phase1),/ˈwɪndi/,,/ˈwɪndi/,風が強い,R4-VntV-excluded,True,True
wonder,A2,original(pre-Phase1),/ˈwʌndɚ/,,/ˈwʌndə/,不思議に思う、驚異、疑問,R4-VntV-excluded,True,True
accidentally,B1,P1_pilot,/ˌæksəˈdɛntəli/,,/ˌæksɪˈdentəli/,偶然に、うっかり,R4-VntV-excluded,False,False
agenda,B1,P1_pilot,/əˈdʒɛndə/,,/əˈdʒendə/,議題、予定表,R4-VntV-excluded,False,False
anti,B1,P1_pilot,/ˈænˌti/,,/ˈænti/,反~、反対の,R4-VntV-excluded,False,False
antonym,B1,P1_pilot,/ˈæntəˌnɪm/,,/ˈæntənɪm/,対義語、反意語,R4-VntV-excluded,False,False
atlantic,B1,P1_pilot,/ətˈlæntɪk/,,/ətˈlæntɪk/,大西洋の,R4-VntV-excluded,False,False
bandage,B1,P1_pilot,/ˈbændɪdʒ/,,/ˈbændɪdʒ/,包帯、絆創膏,R4-VntV-excluded,False,False
certainty,B1,P1_M2,/ˈsɝtənti/,/ˈsɝʔn̩ti/,/ˈsɜːtənti/,確実性、確信,R4-VntV-excluded,False,False
conduct,B1,P1_M2,/ˈkɑndəkt/,,/kənˈdʌkt/,実施する、行い,R4-VntV-excluded,False,False
content,B1,P1_M2,/ˈkɑntɛnt/,,/kənˈtent/,内容、満足した,R4-VntV-excluded,False,False
counter,B1,P1_M2,/ˈkaʊntɚ/,,/ˈkaʊntə/,カウンター、台,R4-VntV-excluded,False,False
county,B1,P1_M2,/ˈkaʊnti/,,/ˈkaʊnti/,郡、州,R4-VntV-excluded,False,False
defender,B1,P1_M2,/dɪˈfɛndɚ/,,/dɪˈfendə/,守る人、ディフェンダー,R4-VntV-excluded,False,False
documentary,B1,P1_M2,/ˌdɑkjəˈmɛntɚi/,,/ˌdɒkjʊˈmentəri/,ドキュメンタリー,R4-VntV-excluded,False,False
encounter,B1,P1_M2,/ɪnˈkaʊntɚ/,,/ɪnˈkaʊntə/,出会う、遭遇する、出会い,R4-VntV-excluded,False,False
entertain,B1,P1_M3,/ˌɛntɚˈteɪn/,,/ˌentəˈteɪn/,楽しませる、もてなす,R4-VntV-excluded,False,False
entertainer,B1,P1_M3,/ˌɛntɚˈteɪnɚ/,,/ˌentəˈteɪnə/,エンターテイナー、芸人,R4-VntV-excluded,False,False
environmentalist,B1,P1_M3,/ɪnˌvaɪrənˈmɛntələst/,,/ɪnˌvaɪərənˈmentəlɪst/,環境保護活動家,R4-VntV-excluded,False,False
fantasy,B1,P1_M3,/ˈfæntəsi/,,/ˈfæntəsi/,空想、ファンタジー,R4-VntV-excluded,False,False
finding,B1,P1_M3,/ˈfaɪndɪŋ/,,/ˈfaɪndɪŋ/,発見、調査結果,R4-VntV-excluded,False,False
handy,B1,P1_M3,/ˈhændi/,,/ˈhændi/,便利な、手先が器用な,R4-VntV-excluded,False,False
identity,B1,P1_M3,/aɪˈdɛntɪˌti/,/aɪˈdɛntɪˌɾi/,/aɪˈdentɪti/,アイデンティティ、正体,R4-VntV-excluded,False,False
independent,B1,P1_M3,/ˌɪndɪˈpɛndənt/,/ˌɪndɪˈpɛndn̩t/,/ˌɪndɪˈpendənt/,独立した、自立した,R4-VntV-excluded,False,False
indirect,B1,P1_M3,/ˌɪndɚˈɛkt/,,/ˌɪndɪˈrekt/,間接的な,R4-VntV-excluded,False,False
indirectly,B1,P1_M3,/ˌɪndɚˈɛktˌli/,,/ɪndɪˈrektli/,間接的に,R4-VntV-excluded,False,False
individual,B1,P1_M3,/ˌɪndəˈvɪdʒəwəl/,,/ˌɪndɪˈvɪdjʊəl/,個人、個々の,R4-VntV-excluded,False,False
indoors,B1,P1_M3,/ˈɪnˌdɔrz/,,/ˈɪnˌdɔːz/,屋内で,R4-VntV-excluded,False,False
industry,B1,P1_M3,/ˈɪndəstri/,,/ˈɪndəstri/,産業、勤勉,R4-VntV-excluded,False,False
interact,B1,P1_M3,/ˌɪntɚˈækt/,,/ˌɪntəˈrækt/,交流する、相互作用する,R4-VntV-excluded,False,False
interaction,B1,P1_M3,/ˌɪntɚˈækʃən/,,/ˌɪntəˈrækʃən/,交流、相互作用,R4-VntV-excluded,False,False
intermediate,B1,P1_M3,/ˌɪntɚˈmidiɪt/,/ˌɪntɚˈmiɾiɪt/,/ˌɪntəˈmiːdɪət/,中級の、中間の,R4-VntV-excluded,False,False
intermission,B1,P1_M3,/ˌɪntɚˈmɪʃən/,,/ˌɪntəˈmɪʃən/,休憩、幕間,R4-VntV-excluded,False,False
internationally,B1,P1_M3,/ˌɪntɚˈnæʃənəli/,,/ˌɪntəˈnæʃnəli/,国際的に,R4-VntV-excluded,False,False
interrupt,B1,P1_M3,/ˌɪntɚˈʌpt/,,/ˌɪntəˈrʌpt/,中断する、遮る,R4-VntV-excluded,False,False
interval,B1,P1_M3,/ˈɪntɚvəl/,,/ˈɪntəvəl/,間隔、休憩時間,R4-VntV-excluded,False,False
interviewee,B1,P1_M3,/ˌɪntɚvjuˈi/,,/ˌɪntəvjuːˈiː/,インタビューを受ける人,R4-VntV-excluded,False,False
maintenance,B1,P1_M3,/ˈmeɪntənəns/,,/ˈmeɪntnəns/,維持、保守,R4-VntV-excluded,False,False
mentally,B1,P1_M4,/ˈmɛntəli/,,/ˈmentəli/,精神的に,R4-VntV-excluded,False,False
misunderstanding,B1,P1_M4,/ˌmɪsəndɚˈstændɪŋ/,,/ˌmɪsʌndəˈstændɪŋ/,誤解,"R4-VntV-excluded,R4-VntV-excluded",False,False
mountaintop,B1,P1_M4,/ˈmaʊntənˌtɑp/,/ˈmaʊnʔn̩ˌtɑp/,/ˈmaʊntəntɒp/,山頂,R4-VntV-excluded,False,False
outstanding,B1,P1_M4,/ˌaʊtˈstændɪŋ/,,/ˌaʊtˈstændɪŋ/,際立った、優れた,R4-VntV-excluded,False,False
phantom,B1,P1_M4,/ˈfæntəm/,,/ˈfæntəm/,幽霊、幻,R4-VntV-excluded,False,False
quantity,B1,P1_M4,/ˈkwɑntəti/,/ˈkwɑntəɾi/,/ˈkwɒntɪti/,量、数量,R4-VntV-excluded,False,False
remainder,B1,P1_M4,/rɪˈmeɪndɚ/,,/rɪˈmeɪndə/,残り,R4-VntV-excluded,False,False
representative,B1,P1_M4,/ˌrɛprəˈzɛntətɪv/,/ˌrɛprəˈzɛntəɾɪv/,/ˌreprɪˈzentətɪv/,代表者、代表的な,R4-VntV-excluded,False,False
standard,B1,original(pre-Phase1),/ˈstændɚd/,,/ˈstændəd/,基準、標準的な,R4-VntV-excluded,False,False
sundial,B1,original(pre-Phase1),/ˈsʌnˌdaɪəl/,,/ˈsʌndaɪəl/,日時計,R4-VntV-excluded,False,False
surrounding,B1,original(pre-Phase1),/sɚˈaʊndɪŋ/,,/səˈraʊndɪŋ/,周囲の,R4-VntV-excluded,False,False
talented,B1,original(pre-Phase1),/ˈtæləntɪd/,,/ˈtæləntɪd/,才能のある,R4-VntV-excluded,False,False
thunder,B1,original(pre-Phase1),/ˈθʌndɚ/,,/ˈθʌndə/,雷,R4-VntV-excluded,False,False
thunderous,B1,original(pre-Phase1),/ˈθʌndɚəs/,,/ˈθʌndərəs/,雷鳴のような,R4-VntV-excluded,False,False
tremendous,B1,original(pre-Phase1),/trəˈmɛndəs/,,/trɪˈmendəs/,とてつもない,R4-VntV-excluded,False,False
uncertainty,B1,original(pre-Phase1),/ənˈsɝtənti/,/ənˈsɝʔn̩ti/,/ʌnˈsɜːtənti/,不確実性,R4-VntV-excluded,False,False
underage,B1,original(pre-Phase1),/ˌʌndɚˈeɪdʒ/,,/ˌʌndərˈeɪdʒ/,未成年の,R4-VntV-excluded,False,False
undergo,B1,original(pre-Phase1),/ˌʌndɚˈɡoʊ/,,/ˌʌndəˈɡəʊ/,経験する,R4-VntV-excluded,False,False
underneath,B1,original(pre-Phase1),/ˌʌndɚˈniθ/,,/ˌʌndəˈniːθ/,~の下に,R4-VntV-excluded,False,False
underpants,B1,original(pre-Phase1),/ˈʌndɚˌpænts/,,/ˈʌndəpænts/,下着(パンツ),R4-VntV-excluded,False,False
unwanted,B1,original(pre-Phase1),/ənˈwɔntɪd/,,/ʌnˈwɒntɪd/,望まれない,R4-VntV-excluded,False,False
warranty,B1,original(pre-Phase1),/ˈwɔrənti/,,/ˈwɒrənti/,保証書,R4-VntV-excluded,False,False
antiaircraft,B2,P2_pilot,/ˌæntiˈɛrˌkræft/,,/ˌæntiːˈeəˌkræft/,対空の,R4-VntV-excluded,False,False
antibacterial,B2,P2_pilot,/ˌæntibækˈtɪriəl/,,/ˌæntiːbækˈtɪriːəl/,抗菌の,R4-VntV-excluded,False,False
anticancer,B2,P2_pilot,/ˌæntiˈkænsɚ/,,/ˌæntiːˈkænsə/,抗がん剤,R4-VntV-excluded,False,False
anticipation,B2,P2_pilot,/ænˌtɪsəˈpeɪʃən/,,/ˌæntɪsɪpˈeɪʃən/,予想、期待,R4-VntV-excluded,False,False
antipollution,B2,P2_pilot,/ˌæntipəˈluʃən/,,/ˌæntiːpəˈluːʃən/,汚染対策,R4-VntV-excluded,False,False
antistatic,B2,P2_pilot,/ˌæntiˈstætɪk/,/ˌæntiˈstæɾɪk/,/ˌæntiːˈstætɪk/,静電気防止の,R4-VntV-excluded,False,False
antivirus,B2,P2_pilot,/ˌæntiˈvaɪrəs/,,/ˌæntɪvˈaɪrəs/,アンチウイルス,R4-VntV-excluded,False,False
attentive,B2,P2_pilot,/əˈtɛntɪv/,,/əˈtentɪv/,注意深い、気配りのある,R4-VntV-excluded,False,False
attentively,B2,P2_pilot,/əˈtɛntɪvli/,,/əˈtentɪvliː/,注意深く,R4-VntV-excluded,False,False
bartender,B2,P2_pilot,/ˈbɑrˌtɛndɚ/,/ˈbɑrˌɾɛndɚ/,/ˈbɑːˌtendə/,バーテンダー,R4-VntV-excluded,False,False
candidate,B2,P2_M2a,/ˈkændəˌdeɪt/,/ˈkændəˌɾeɪt/,/ˈkændəˌdeɪt/,候補者,R4-VntV-excluded,False,False
centigrade,B2,P2_M2a,/ˈsɛntəˌɡreɪd/,,/ˈsentəˌɡreɪd/,摂氏,R4-VntV-excluded,False,False
commander,B2,P2_M2b,/kəˈmændɚ/,,/kəˈmændə/,指揮官,R4-VntV-excluded,False,False
corresponding,B2,P2_M2c,/ˌkɔrəˈspɑndɪŋ/,,/ˌkɔːrəˈspɒndɪŋ/,対応する,R4-VntV-excluded,False,False
dandelion,B2,P2_M2c,/ˈdændəˌlaɪən/,,/ˈdændəˌlaɪən/,タンポポ,R4-VntV-excluded,False,False
demanding,B2,P2_M2c,/dɪˈmændɪŋ/,,/dɪˈmændɪŋ/,要求の厳しい,R4-VntV-excluded,False,False
dependable,B2,P2_M2c,/dɪˈpɛndəbəl/,,/dɪˈpendəbəl/,頼りになる,R4-VntV-excluded,False,False
